Compound	Occurrences	pubchem_isosmiles
!) n-butyllithium	1	empty
!h-tetrazole	1	empty
"""all"" detergent"	2	empty
&alpha;-glcnac	2	empty
'	1	empty
(((1r,2r)-1,3-me2-2-(3,5-me2-phenylthio)buo)pph2)rh(cod)sbf6	4	empty
(((1s,2s)-2-t-bus-c-hexyloxy)pph2)-(2,5-norbornadiene)rhotf	8	empty
(((1s,2s)-2-t-butylthio-cyclohexyloxy)pph2)rh(cod)sbf6	6	empty
(((3-hydroxypropyl)carbonylcyclopentadienyl)cobalt)-eta4-cyclooctadiene	2	empty
(((c2h5)4c4p)2fe)2pd2cl4	9	empty
(((ch3(ch2)3)c3h2n2)2c5h3n)pdbr(1+)*br(1-)=[((ch3(ch2)3c3h2n2)2c5h3n)pdbr]br	2	empty
(((ch3)2coch2ch(o)choh)2	1	empty
(((ch3)2n)(cchchn)(c5h3))fe(c5(c6h5)5)	1	empty
(((ch3c6h4)2pch2c5h7n2c2hc6h5)ir(c8h12))(1+)*b(c6h3(cf3)2)4(1-)=(((ch3c6h4)2pch2c5h7n2c2hc6h5)ir(c8h12))b(c6h3(cf3)2)4	3	empty
(((o2nc6h4ch2)c3h2n2)2c5h3n)pdbr(1+)*pf6(1-)=[(((o2nc6h4ch2)c3h2n2)2c5h3n)pdbr]pf6	1	empty
(((p(c6h5)2ch2)2nch2ch2nhcoch2ch2)2nch2c6h3(och2c6h3(och2c6h3(och2c6h5)2)2)2)(pdcl2)2	1	empty
(((ra)-(c10h5o)2)alcl)n	1	empty
((+)-i-pr-pyrox)nibr2	2	empty
((.eta.5-me5c5)2lah)2	1	empty
((.eta.5-me5c5)2luh)2	8	empty
((.eta.5-me5c5)2smh)2	2	empty
((1,2,3,4,5-pentamethylcyclopentadienyl)cocl2)2	68	empty
((1r,2r)-1-(tert-butylthio)-1-mesityl-3-(trityloxy)propan-2-yloxy)diphenylphosphine	3	C(C)(C)(C)S[C@@H]([C@@H](COC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)OP(C1=CC=CC=C1)C1=CC=CC=C1)C1=C(C=C(C=C1C)C)C
((1r,2s)-1-(adamantylthio)-1-phenyl-3-(trityloxy)propan-2-yloxy)diphenylphosphine	1	C12(CC3CC(CC(C1)C3)C2)S[C@@H]([C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OP(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=CC=C2
((1r,2s)-1-(tert-butylthio)-1-mesityl-3-(trityloxy)propan-2-yloxy)diphenylphosphine	1	C(C)(C)(C)S[C@@H]([C@H](COC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)OP(C1=CC=CC=C1)C1=CC=CC=C1)C1=C(C=C(C=C1C)C)C
((1r,2s,5r)-2-i-pr-5-me-cyclohex-1-yl)cp)2ticl2	4	empty
((1r,2s,5r)-2-i-pr-5-me-cyclohex-1-yl)cp2ticl2	1	empty
((1r,3s)-2,2-dimethyl-3-((morpholin-4-yl)-methyl)cyclopropyl)diphenylmethanol	28	CC1([C@@H]([C@@H]1CN1CCOCC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)C
((1r,3s)-3-(((s)-2-((tert-butyldimethylsilyloxy)methyl)pyrrolidin-1-yl)methyl)-2,2-dimethylcyclopropyl)diphenylmethanol	18	[Si](C)(C)(C(C)(C)C)OC[C@H]1N(CCC1)C[C@@H]1C([C@@H]1C(O)(C1=CC=CC=C1)C1=CC=CC=C1)(C)C
((1s,2r,5s)-2-i-pr-5-me-cyclohex-1-yl)cp)2ticl2	3	empty
((1s,2s)-1-methyl-7-(trifluoromethyl)-1,2-dihydroimidazo[1,2-a]quinolin-2-yl)diphenylmethanol	32	C[C@H]1[C@H](N=C2N1C1=CC=C(C=C1C=C2)C(F)(F)F)C(O)(C2=CC=CC=C2)C2=CC=CC=C2
((1s,2s)-7-chloro-1-methyl-1,2-dihydroimidazo[1,2-a]quinolin-2-yl)diphenylmethanol	47	ClC=1C=C2C=CC=3N(C2=CC1)[C@H]([C@H](N3)C(O)(C3=CC=CC=C3)C3=CC=CC=C3)C
((1s,2s)-7-chloro-4-iodo-1-methyl-1,2-dihydroimidazo[1,2-a]quinolin-2-yl)diphenylmethanol	22	ClC=1C=C2C=C(C=3N(C2=CC1)[C@H]([C@H](N3)C(O)(C3=CC=CC=C3)C3=CC=CC=C3)C)I
((2,2'-(1,2-ethanediylbis(nitrilomethylidyne))bis(phenolato))-n,n',o,o')cobalt(iii)(1+)	3	empty
((2,4-di-tert-butylphenyl)o)(c6h5)2p	1	empty
((2,4-di-tert-butylphenyl)o)(i-pr)2p	5	empty
((2,6-(ipr)2c6h3)n=cme-cme=n(2,6-(ipr)2c6h3))pdmecl	1	empty
((2-(2-iodophenyl)propan-2-yl)oxy)(trifluoromethyl)sulfane	8	IC1=C(C=CC=C1)C(C)(C)OSC(F)(F)F
((2-benzimidazolyl)methyl)-bis-((2-pyridyl)methyl)amine	13	N1=C(NC2=C1C=CC=C2)CN(CC2=NC=CC=C2)CC2=NC=CC=C2
((2-dicyclohexylphosphino-3,6-dimethoxy-2',4',6'-triisopropyl-1,1'-biphenyl)-2-(2'-amino-1,1'-biphenyl))palladium(ii) methanesulfonate	1	empty
((2-ipro-5-no2-ph)ch=)(1,3-bis(mesityl)pyrrolidin-2-yl)rucl2	10	empty
((2r,3r,4s,5r,6r)-3,4,5,6-tetrakis(benzyloxy)tetrahydro-2h-pyran-2-yl)methanol	1	C(C1=CC=CC=C1)O[C@@H]1[C@H](O[C@H]([C@@H]([C@H]1OCC1=CC=CC=C1)OCC1=CC=CC=C1)OCC1=CC=CC=C1)CO
((2r,4r)-4-(benzyloxy)pyrrolidin-2-yl)diphenylmethanol	17	C(C1=CC=CC=C1)O[C@@H]1C[C@@H](NC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
((2s,2's,5s,5?s)-1,1'-((2-hydroxy-5-methyl-1,3-phenylene)-bis-(methylene))-bis-(5-phenylpyrrolidine-2,1-diyl))-bis-(diphenylmethanol)	4	empty
((2s,3s)-6-mesityl-2,3-diphenyl-2,3,5,6-tetrahydroimidazo[1,2-c]quinazolin-5-yl)copper(i) chloride	19	C1(=C(C(=CC(=C1)C)C)N1C(N2C(C=3C=CC=CC13)=N[C@H]([C@@H]2C2=CC=CC=C2)C2=CC=CC=C2)[Cu-]Cl)C
((3as)-3,3-bis(3,5-dimethylphenyl)-1-(2-(trifluoromethyl)phenyl)hexahydro-1h-pyrrolo[1,2-c][1,3,2]oxazaborol-7-ium-7-yl)tribromoaluminate	2	empty
((4-cf3)c6h4)3paucl	26	empty
((4s)-2-(2-(diphenylphosphino)phenyl)-4-tert-butyl-4,5-dihydrooxazole)-(.eta.4-1,5-cyclooctadiene)iridium(i) tetrakis(3,5-bis(trifluoromethyl)phenyl)borate	36	empty
((4s,5s)-2,2-dimethyl-1,3-dioxolane-4,5-bis(diphenylmethoxy))cyclopentadienyl-chlorotitanium	2	empty
((c3h7)3p)2pd(c2h2)	1	empty
((c4h9)4n)bf4	1	empty
((c5(ch3)5)ircl2(p(ch(ch3)2)2(cn2c2h3)))	1	empty
((c5(ch3)5)re(no)(co)2)bf4	1	empty
((c5(ch3)5)ru(co)3)bf4	3	empty
((c5h4n)2b(ch3)oh)ru(ncch3)3(1+)*cf3so3(1-)=((c5h4n)2b(ch3)oh)ru(ncch3)3cf3so3	1	empty
((c5h5)re(no)(co)2)f4	1	empty
((c6h13)4n)5siru(iii)(h2o)w11o39	1	empty
((c6h4)(opph2)(nchphpph2))nicl	13	empty
((c6h4)(pph2)(nchphp(o)ph2))nicl	30	empty
((c6h4)(pph2)(nchphp(o)phet))nicl	3	empty
((c6h5)2c3h2n2(c6h4c6h5)c6h2(ch(ch3)2)3)bf4	2	empty
((c6h5)3c)(b(c6f5)4)	18	empty
((c6h5)3p)2n(1+)*(c5h5)v(co)3h(1-)=(((c6h5)3p)2n)((c5h5)v(co)3h)	1	empty
((c6h5)5c5)fe(c8h5nn(ch3)2)	1	empty
((c6h5)6p2n)bh4 or (n(c4h9)4)bh4	1	empty
((c8h12)ir((c6h5)2pch2c7h8n2c6h5))(1+)*b(c6h3(cf3)2)4(1-)=((c8h12)ir((c6h5)2pch2c7h8n2c6h5))(b(c6h3(cf3)2)4)	3	empty
((c8h12)ir((c6h5)2pch2ch(ch3)c3hsnc6h5))(1+)*b(c6h3(cf3)2)4(1-)=((c8h12)ir((c6h5)2pch2ch(ch3)c3hsnc6h5))(b(c6h3(cf3)2)4)	1	empty
((c8h17)3ch3n)3po4lt;w(o)(o2)2gt;4	1	empty
((cf3)2cho)2ti((r)-[1,1-binaphthyl]-2,2'-diolate)	2	empty
((ch3)2c(ch2ncon(ch(ch3)2)2)2)zr(ch2ph)2	7	empty
((ch3)2c(ch2ncon(ipr)2)2)zr(nme2)2(nhme2)	6	empty
((ch3)2ch)2nch2ch3	8	empty
